,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
0,2011-ausopen-1101,2011,ausopen,1101,Rafael Nadal,Marcos Daniel,Retired,1.0,Men's Singles,Round 1,Rod Laver Arena,A,atpn409,atpd339,ESP,BRA,1101.0
1,2011-ausopen-1103,2011,ausopen,1103,Bernard Tomic,Jeremy Chardy,Complete,1.0,Men's Singles,Round 1,Hisense Arena,B,atpta46,atpca12,AUS,FRA,1103.0
2,2011-ausopen-1105,2011,ausopen,1105,John Isner,Florent Serra,Complete,1.0,Men's Singles,Round 1,Court 6,H,atpi186,atps963,USA,FRA,1105.0
3,2011-ausopen-1108,2011,ausopen,1108,Donald Young,Marin Cilic,Complete,2.0,Men's Singles,Round 1,Show Court 2,D,atpy124,atpc977,USA,CRO,1108.0
4,2011-ausopen-1112,2011,ausopen,1112,Juan Ignacio Chela,Michael Llodra,Complete,2.0,Men's Singles,Round 1,Show Court 2,D,atpc514,atpl428,ARG,FRA,1112.0
5,2011-ausopen-1113,2011,ausopen,1113,David Nalbandian,Lleyton Hewitt,Complete,1.0,Men's Singles,Round 1,Rod Laver Arena,A,atpn301,atph432,ARG,AUS,1113.0
6,2011-ausopen-1114,2011,ausopen,1114,Richard Berankis,Marinko Matosevic,Complete,1.0,Men's Singles,Round 1,Court 6,H,atpbe90,atpme05,LTU,AUS,1114.0
7,2011-ausopen-1115,2011,ausopen,1115,Michael Russell,Matthew Ebden,Complete,1.0,Men's Singles,Round 1,Margaret Court Arena,C,atpr368,atpe690,USA,AUS,1115.0
8,2011-ausopen-1116,2011,ausopen,1116,Jarkko Nieminen,David Ferrer,Complete,2.0,Men's Singles,Round 1,Show Court 3,E,atpn289,atpf401,FIN,ESP,1116.0
9,2011-ausopen-1117,2011,ausopen,1117,Robin Soderling,Potito Starace,Complete,1.0,Men's Singles,Round 1,Margaret Court Arena,C,atpsa49,atps843,SWE,ITA,1117.0
10,2011-ausopen-1124,2011,ausopen,1124,Philipp Petzschner,Jo-Wilfried Tsonga,Complete,2.0,Men's Singles,Round 1,Margaret Court Arena,C,atpp624,atpt786,GER,FRA,1124.0
11,2011-ausopen-1126,2011,ausopen,1126,Carsten Ball,Pere Riba,Complete,2.0,Men's Singles,Round 1,Court 8,J,atpbd59,atpr750,AUS,ESP,1126.0
12,2011-ausopen-1127,2011,ausopen,1127,Dudi Sela,Juan Martin Del Potro,Complete,2.0,Men's Singles,Round 1,Show Court 2,D,atpsc56,atpd683,ISR,ARG,1127.0
13,2011-ausopen-1128,2011,ausopen,1128,Grega Zemlja,Marcos Baghdatis,Complete,2.0,Men's Singles,Round 1,Show Court 3,E,atpz189,atpb837,SLO,CYP,1128.0
